date,max_temp,min_temp
2021-08-01,8.6,3.5
2021-08-02,8.5,3.9
2021-08-03,7.1,-1.1
2021-08-04,8.6,2.2
2021-08-05,9.7,1.4
2021-08-06,7.1,3.3
2021-08-07,5.4,-1.5
2021-08-08,7.3,-0.2
2021-08-09,11.0,1.7
2021-08-10,13.0,4.4
2021-08-11,13.8,9.2
2021-08-12,11.4,4.6
2021-08-13,9.1,4.6
2021-08-14,11.1,3.9
2022-08-01,11.2,8.5
2022-08-02,10.4,7.3
2022-08-03,12.4,7.9
2022-08-04,13.5,10.0
2022-08-05,12.9,7.3
2022-08-06,8.8,2.5
2022-08-07,4.6,0.5
2022-08-08,4.7,-3.1
2022-08-09,6.3,-3.0
2022-08-10,6.6,0.4
2022-08-11,9.4,-0.4
2022-08-12,9.1,2.5
2022-08-13,10.5,1.5
2022-08-14,10.2,5.3
2023-08-01,5.9,2.5
2023-08-02,10.6,2.4
2023-08-03,11.6,7.0
2023-08-04,10.9,4.4
2023-08-05,12.6,7.6
2023-08-06,10.2,3.2
2023-08-07,5.3,0.5
2023-08-08,5.2,1.0
2023-08-09,4.4,0.7
2023-08-10,5.4,-1.8
2023-08-11,9.9,1.8
2023-08-12,9.2,5.1
2023-08-13,6.8,2.2
2023-08-14,8.4,2.2
2024-08-01,5.7,-0.4
2024-08-02,5.7,-1.8
2024-08-03,9.4,0.6
2024-08-04,9.6,2.8
2024-08-05,11.3,5.8
2024-08-06,10.8,6.6
2024-08-07,8.7,4.6
2024-08-08,6.8,-0.5
2024-08-09,9.4,-0.1
2024-08-10,12.1,5.1
2024-08-11,10.2,6.0
2024-08-12,12.1,0.3
2024-08-13,12.9,5.4
2024-08-14,12.6,9.1
2025-08-01,8.9,1.1
2025-08-02,7.9,-0.9
2025-08-03,6.9,-0.4
2025-08-04,8.6,-1.6
2025-08-05,12.1,1.3
2025-08-06,11.3,4.9
2025-08-07,8.2,2.9
2025-08-08,4.9,1.6
2025-08-09,7.5,-0.3
2025-08-10,8.8,-0.4
2025-08-11,7.4,-0.6
2025-08-12,8.1,-1.1
2025-08-13,10.6,3.3
2025-08-14,12.6,5.8
